,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1205,2014-11-04,564.8832896741565,485.98058717080914,632.9187253938255,564.8832896741565,564.8832896741565,-0.20989954002173072,-0.20989954002173072,-0.20989954002173072,-0.951980695833019,-0.951980695833019,-0.951980695833019,0.7420811558112883,0.7420811558112883,0.7420811558112883,0.0,0.0,0.0,564.6733901341347
1206,2014-11-06,566.1399222857492,493.3529188612703,640.7897511523164,566.1399222857492,566.1399222857492,-2.641686836227666,-2.641686836227666,-2.641686836227666,-1.2585772589936004,-1.2585772589936004,-1.2585772589936004,-1.3831095772340658,-1.3831095772340658,-1.3831095772340658,0.0,0.0,0.0,563.4982354495215
1207,2014-11-07,566.7682385915458,490.2823027419646,641.2579637682484,566.7682385915458,566.7682385915458,-0.9681938539860573,-0.9681938539860573,-0.9681938539860573,1.3886639478506762,1.3886639478506762,1.3886639478506762,-2.356857801836733,-2.356857801836733,-2.356857801836733,0.0,0.0,0.0,565.8000447375598
1208,2014-11-08,567.3965548973423,487.7009150927946,634.5259209590288,567.3965548973423,567.3965548973423,-7.758558748657673,-7.758558748657673,-7.758558748657673,-4.503389420162689,-4.503389420162689,-4.503389420162689,-3.255169328494984,-3.255169328494984,-3.255169328494984,0.0,0.0,0.0,559.6379961486846
1209,2014-11-09,568.0248712031388,497.0914899473101,643.8070501288363,568.0248712031388,568.0248712031388,1.4950647804819954,1.4950647804819954,1.4950647804819954,5.5634668010824075,5.5634668010824075,5.5634668010824075,-4.068402020600412,-4.068402020600412,-4.068402020600412,0.0,0.0,0.0,569.5199359836208
1210,2014-11-11,569.2815038147316,487.9376411020936,636.1180309154348,569.2815038147316,569.2815038147316,-6.3642370621534745,-6.3642370621534745,-6.3642370621534745,-0.951980695839612,-0.951980695839612,-0.951980695839612,-5.412256366313862,-5.412256366313862,-5.412256366313862,0.0,0.0,0.0,562.9172667525781
1211,2014-11-12,569.9098201205283,490.44100631908174,635.130701987637,569.9098201205283,569.9098201205283,-5.983340415397809,-5.983340415397809,-5.983340415397809,-0.04832780207416544,-0.04832780207416544,-0.04832780207416544,-5.935012613323644,-5.935012613323644,-5.935012613323644,0.0,0.0,0.0,563.9264797051304
1212,2014-11-13,570.5381364263245,481.46847913801486,636.548033451426,570.5381364263245,570.5381364263245,-7.615527417525989,-7.615527417525989,-7.615527417525989,-1.2585772589968856,-1.2585772589968856,-1.2585772589968856,-6.356950158529104,-6.356950158529104,-6.356950158529104,0.0,0.0,0.0,562.9226090087985
1213,2014-11-14,571.166452732121,494.24078819002807,640.6061906155518,571.166452732121,571.166452732121,-5.2911574071973755,-5.2911574071973755,-5.2911574071973755,1.3886639478560865,1.3886639478560865,1.3886639478560865,-6.679821355053462,-6.679821355053462,-6.679821355053462,0.0,0.0,0.0,565.8752953249236
1214,2014-11-17,573.0514016495107,494.5554875194234,637.8884189261914,573.0514016495107,573.0514016495107,-7.290628722364062,-7.290628722364062,-7.290628722364062,-0.18985557187681212,-0.18985557187681212,-0.18985557187681212,-7.1007731504872496,-7.1007731504872496,-7.1007731504872496,0.0,0.0,0.0,565.7607729271466
1215,2014-11-18,573.679717955307,489.7806554368168,639.5472863020796,573.679717955307,573.679717955307,-8.034079700424313,-8.034079700424313,-8.034079700424313,-0.9519806958462049,-0.9519806958462049,-0.9519806958462049,-7.082099004578107,-7.082099004578107,-7.082099004578107,0.0,0.0,0.0,565.6456382548827
1216,2014-11-19,574.3080342611034,498.9913627285674,645.3304907225134,574.3080342611034,574.3080342611034,-7.046969118017387,-7.046969118017387,-7.046969118017387,-0.048327802049172634,-0.048327802049172634,-0.048327802049172634,-6.998641315968214,-6.998641315968214,-6.998641315968214,0.0,0.0,0.0,567.2610651430861
1217,2014-11-20,574.9363505669,495.6450816508885,635.8955112095784,574.9363505669,574.9363505669,-8.118852091205891,-8.118852091205891,-8.118852091205891,-1.2585772590017068,-1.2585772590017068,-1.2585772590017068,-6.860274832204185,-6.860274832204185,-6.860274832204185,0.0,0.0,0.0,566.8174984756942
